0 31,59 (-14429.889648 450.344452 15.430828) (-14424.218750 444.332855 12.773965) 2.5 // booty bay dock
572 30,29 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 30,29 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 30,29 (1286.368042 1672.937134 34.6) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 30,29 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 29,29 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 29,29 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 29,29 (1286.368042 1672.937134 34.6) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 29,29 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 28,29 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 28,29 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 28,29 (1286.368042 1672.937134 34.6) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 28,29 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 27,29 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 27,29 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 27,29 (1286.368042 1672.937134 34.6) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 27,29 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 31,28 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 31,28 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 31,28 (1286.368042 1672.937134 34.6) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 31,28 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 30,28 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 30,28 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 30,28 (1286.368042 1672.937134 34.6) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 30,28 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 29,28 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 29,28 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 29,28 (1286.368042 1672.937134 34.6) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 29,28 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 28,28 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 28,28 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 28,28 (1286.368042 1672.937134 34.6) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 28,28 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 27,28 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 27,28 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 27,28 (1286.368042 1672.937134 34.6) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 27,28 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 31,27 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 31,27 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 31,27 (1286.368042 1672.937134 34.6) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 31,27 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 30,27 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 30,27 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 30,27 (1286.368042 1672.937134 34.6) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 30,27 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 29,27 (1290.036987 1662.930786 34.5) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 29,27 (1283.855347 1661.882202 34.6) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
572 29,27 (1286.368042 1672.937134 34.6) (1289.578979 1667.526611 39.3) 2.5 //Ruins of Lordaeron
572 29,27 (1281.508789 1672.302124 34.8) (1283.353882 1667.276611 39.3) 2.5 //Ruins of Lordaeron
